Id,SalePrice
1461,117613.07169629727
1462,164078.97565408534
1463,183814.12138710695
1464,201095.4483397166
1465,203588.38960568383
1466,176611.47110517026
1467,174511.52174379572
1468,169436.4746458129
1469,178001.5558565036
1470,128615.96428345465
1471,197118.5647665313
1472,102032.71696538983
1473,97339.52858895755
1474,147600.69030607055
1475,108649.5595289092
1476,379454.38060309953
1477,247361.5348962714
1478,293233.4677058219
1479,299334.93990655744
1480,512497.7016105235
1481,316158.6135680199
1482,207139.40312121937
1483,183662.66803657069
1484,163329.4418993524
1485,197978.26140412633
1486,207566.62674317035
1487,366646.6510339205
1488,226590.43261773064
1489,203252.59708889067
1490,230830.280772404
1491,201169.08788410953
1492,92551.91918987299
1493,175092.78749198865
1494,304629.40413228865
1495,305689.3200071658
1496,219785.77016744655
1497,185060.57564401464
1498,182943.9459096241
1499,175614.48832476596
1500,171087.61017310427
1501,181518.4920581708
1502,164666.50540163636
1503,286008.413992713
1504,249611.64316300236
1505,224882.4819463989
1506,185527.039133208
1507,247434.91799387685
1508,204521.31013969088
1509,156427.9769880266
1510,153314.51344887653
1511,158608.5133775152
1512,175413.29306995985
1513,144175.22978263113
1514,157765.77268191014
1515,190512.03828492516
1516,150042.26152268943
1517,159807.6895510359
1518,136448.7106257904
1519,213909.289571378
1520,134337.20918253294
1521,132745.51263432033
1522,177715.61209971967
1523,115783.22126040806
1524,109266.33747016564
1525,120271.87653798956
1526,113651.14063672395
1527,109841.6012769643
1528,130820.19154914966
1529,150458.41785656524
1530,182314.64434286108
1531,121713.09149188442
1532,104301.83293297725
1533,139411.83998585775
1534,117047.07248567908
1535,145455.0476719731
1536,108350.73315752867
1537,73795.03423895867
1538,148534.84212972908
1539,186936.16380696706
1540,71849.54425042571
1541,133053.35824600462
1542,134601.67384010417
1543,165935.11580139215
1544,90365.37149649906
1545,109889.23517959219
1546,138538.90999442583
1547,131926.03187226833
1548,125012.18758477925
1549,121018.45231566568
1550,135333.3459818654
1551,116670.5239554466
1552,131750.51767644685
1553,148198.60839703152
1554,120078.03817705094
1555,170497.7302906657
1556,109928.93703842617
1557,104314.68898726787
1558,117455.61725020727
1559,86192.09161546687
1560,151309.94355414898
1561,125290.60540300653
1562,132371.01953800762
1563,130295.38794562897
1564,156961.36465497137
1565,157136.97966702835
1566,244076.61211562232
1567,88867.98557797135
1568,265635.4347533509
1569,129114.12815793311
1570,133124.93547969757
1571,124486.23136802057
1572,126757.89815971146
1573,248754.8099113066
1574,133577.82675762978
1575,240976.00945201638
1576,261384.22202325903
1577,177506.2036658481
1578,142551.10468157026
1579,144746.02334455895
1580,193147.15204413532
1581,153857.18070332962
1582,123264.53899590304
1583,298839.735117818
1584,224921.22347034438
1585,141354.77258020797
1586,81396.82553999432
1587,102982.47114061151
1588,137542.7805221821
1589,99038.24194389391
